Ticker,Fiscal_Year,XCalendar_Future_DateX,Future_Calendar_Quarters,Linear_Chart_Duration_Years,Linear_Price_Scale_Low,Linear_Price_Scale_High,Linear_Earnings_Scale_Low,Linear_Earnings_Scale_High,Linear_Upper_Price_Channel,Linear_Lower_Price_Channel,Use_Diluted_or_Adjusted_EPS,Chart_Type,Use_AAII_Projections,Log_Chart_Duration_Years,Log_Price_Scale_Low,Log_Price_Scale_High,Log_Earnings_Scale_Low,Log_Earnings_Scale_High,Log_Upper_Price_Channel,Log_Lower_Price_Channel,Dividend_Multiplier_Factor,Candle_Chart_Duration_Days
CASY,Apr,8/2/2023,8,10,0,600,0,9,0.15,0.15,,,,,0.01,200,0.0002,4,0.15,0.15,,
CRDO,Apr,8/2/2023,8,10,0,150,0,0.4,0.03,0.03,Adjusted,,,,0.01,200,0.0002,4,0.15,0.15,,
CRMT,Apr,8/2/2023,8,10,0,250,0,5,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
ESTC,Apr,8/2/2023,8,10,-75,250,-0.25,1,0.07,0.07,Adjusted,,,,0.01,200,0.0002,4,0.15,0.15,,
FIZZ,Apr,8/2/2023,8,10,0,160,0,2,0.1,0.1,,,,,0.01,200,0.0002,4,0.15,0.15,,
AYI,Aug,12/2/2023,8,10,0,300,0,5,0.4,0.2,,,,,0,300,0,5,0.4,0.2,,
AZO,Aug,12/2/2023,8,10,0,4000,0,80,1.2,1.2,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CMC,Aug,12/2/2023,8,10,-10,100,-0.4,4,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
COST,Aug,12/2/2023,8,10,0,900,0,12,0.2,0.2,,,,,-20,150,-0.3,0.5,0.1,0.1,,
EPAC,Aug,12/2/2023,8,10,0,75,0,1,0.05,0.05,,,,,-20,150,-0.3,0.5,0.1,0.1,,
FDS,Aug,12/2/2023,8,10,0,700,0,7,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
JBL,Aug,12/2/2023,8,10,0,180,0,3.6,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
MU,Aug,12/2/2023,8,10,-25,175,-0.5,3.5,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
SMPL,Aug,12/2/2023,8,10,0,75,0,0.6,0.02,0.02,,,,,5,70,-1,4,0.3,0.3,,
UNF,Aug,12/2/2023,8,10,0,375,0,7.5,0.2,0.2,,,,,0,300,0,5,0.4,0.2,,
HELE,Feb,6/2/2023,8,10,0,320,0,8,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
KMX,Feb,6/2/2023,8,10,0,200,0,2.4,0.07,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
ADSK,Jan,5/2/2024,8,10,-90,375,-0.6,2.5,0.12,0.12,,,,,-10,50,-1.5,4,0.3,0.3,,
ASO,Jan,5/2/2023,8,10,0,120,0,4.8,0.1,0.1,,,,,-10,50,-1.5,4,0.3,0.3,,
BBWI,Jan,5/2/2024,8,10,-40,120,-1,3,0.2,0.2,,,,,-10,50,-1.5,4,0.3,0.3,,
BBY,Jan,5/2/2024,8,10,-50,200,-1,4,0.15,0.15,,,,,-50,100,-1,2,0.15,0.15,,
BIG,Jan,5/2/2023,8,10,0,150,0,3,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
BJ,Jan,5/2/2024,8,10,0,150,0,2,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
