Tickers,,,,,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,,,,,,,,IVES,Shay,Ronnie,My Stuff,Rise Dynasty,Marty 6,,RainKing
GNRC,,ORLY,8/2/2026,,,BRZE,ASO,ADBE,,,,,LEN,,,,FITZ,BETR,-,Lots of Debt,,,INOD,RKLB,ZETA,ABAT,FLNC,PL,RKLB,MU
GRMN,,PFSI,8/2/2026,,,CASY,COO,CPRT,,,,,,,,,GRNY,BTQ,None,,,,PEGA,CLPT,FLNC,ADUS,IREN,FSLR,IREN,AVGO
HLI,,PSA,8/2/2026,,,,CRMT,DSGX,,,,,,,,,GRNJ,CIFR,-,Cash > LT debt,,,SHOP,JMIA,LUNR,AREC,NBIS,ALAB,NBIS,TSLA
HOOD,,PTC,8/2/2026,,,,,FIZZ,,,,,,,,,IVES,DEFT,+,Lots of current liabilitiey,,,,EOSE,RDW,ASST,OPEN,IMNM,,CEG
HUM,,QCOM,8/2/2026,,,,,IBEX,,,,,,,,,CNEQ,ETHA,ETF,,,,,ASTS,ONDS,ASTS,OUST,AEO,,
ICLR,,RSI,8/2/2026,,,,,ORCL,,,,,,,,,ATFV,HUT,+,Cash > LT debt,,,,TMDX,AVAV,AVAV,RKLB,OPEN,,VIAV
IEX,,SHW,8/2/2026,,,,,RH,,,,,,,,,FRTY,IREN,+,Cash > LT debt,,,,VKTX,ADUS,BITF,SANM,,,FROG
KEX,,SIMO,8/2/2026,,,,,,,,,,,,,,ALAI,OPEN,-,,,,,SOFI,DLO,CCCX,HUT,,,NTRA
LAD,,SITE,8/2/2026,,,,,,,,,,,,,,,SANA,-,No debt,,,,IONQ,NBIS,CIFR,CIFR,,,WRBY
LFUS,,SLGN,8/2/2026,,,,,,,,,,,,,,,,,,,,,IREN,IREN,CLSK,SANA,,,GRAB
LMND,,SOFI,8/2/2026,,,grdn,,,,,,,,,,,,NBIS,,,,,,,,DPRO,,,,PGY
LRCX,,SPGI,8/2/2026,,,cort,,,,,,,,,,,,,,,,,,,,EOSE,,,,RKT
MAS,,SWK,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,IONQ,,,,
META,,SWKS,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,IREN,,,,IONQ
MGRC,,TENB,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,KRKNF,,,,FIG
MSFT,,TER,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,KTOS,,,,LULU
MYRG,,TRU,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,MDB,,,,MJ
NSP,,TTEK,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,ONDS,,,,
ODFL,,TYL,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,PL,,,,
OMF,,UFPI,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,PLUG,,,,
,,V,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,POET,,,,
,,VRT,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,PRCT,,,,
,,WERN,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,PRME,,,,
,,WING,8/2/2026,,,,,,,,,,,,,,,,,,,,,,,RDW,,,,
,,AAPL,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,RIVN,,,,
,,ALGM,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,RKLB,,,,
,,AMZN,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,SIDU,,,,
,,AOS,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,SKYT,,,,
,,APD,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,SOC,,,,
,,AVY,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,SYM,,,,
,,BLDR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,TE,,,,
,,CHKP,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,UMAC,,,,
,,CI,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,FIGR,,,,
,,COIN,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CROX,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DAR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DXCM,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EME,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EMN,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FHI,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FND,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FSLR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GPI,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HII,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HUN,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ICE,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IDCC,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ILMN,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LH,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LKQ,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOPE,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPLA,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MA,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MLM,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MPWR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MSEX,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTX,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NCLH,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NMIH,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OLED,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OMCL,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PIPR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PWR,8/3/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
