AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2.7,2.7,2.7,2.4,2.3,2.4,2.3,2.3
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.015,0.014,0.013,0.028,0.035,0.043,0.049,0.045
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.5,1.8,1.8,2.4,2.8,3.2,3.5,3.3
Shares_Diluted,49.725,49.725,49.725,49.725,49.725,49.725,49.725,49.725
Total_Assets,7.5,11.5,17.4,21.3,28.7,40.7,42.1,43.7
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
