AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,1246.2,1347.3,1579.7,1593.3,1592.7,1827.4,1665.4,1566.4,1450.7,1455.2,1545.3,1423.9,1301.1,1376.9,1504.8,1402.6,1316.7,1415.4,1557.3,1371.0,1111.6,1232.1
Current_Liabilities,723.4,797.6,1041.0,994.2,939.3,1069.3,1100.4,1048.3,1000.1,943.3,974.6,889.6,809.6,842.1,855.8,809.9,620.1,677.8,847.5,897.7,578.2,655.3
Diluted_EPS,-0.526,0.076,1.669,0.385,-0.585,-0.288,0.732,1.139,-1.449,0.175,-1.997,0.074,-1.436,-0.422,0.973,-0.518,-1.338,0.138,1.164,-0.204,-0.286,0.8109999999999999
Goodwill_Intangibles,73.7,73.7,73.7,53.7,53.7,53.7,116.8,116.8,116.8,116.8,116.7,248.7,248.3,264.3,264.1,264.1,259.7,259.5,244.7,246.9,53.8,53.8
Inventory,97.9,86.8,81.3,78.6,74.4,62.0,77.4,88.4,86.6,82.4,102.1,105.0,98.8,88.9,95.4,102.2,96.9,88.6,90.8,96.0,71.3,62.5
LT_Debt,287.0,286.9,286.9,286.8,290.5,331.2,331.2,331.2,331.6,330.5,405.6,405.8,355.9,356.1,394.8,366.9,333.3,335.1,316.9,280.7,176.0,178.5
Revenue,560.1,787.1,1009.8,768.3,653.9,805.7,1062.1,834.7,566.3,945.6,1065.2,915.8,635.9,885.6,1112.1,866.1,581.8,892.3,1055.6,807.1,563.4,801.3
Shares_Diluted,43.764,75.087,43.973,44.534,45.73,45.833,47.906,47.798,45.697,45.662,45.654,46.281000000000006,45.52,45.923,47.17,46.824,46.699,47.37,47.81,41.044,39.908,40.387
Total_Assets,2077.4,2167.9,2408.0,2291.3,2282.1,2494.9,2561.8,2478.9,2373.7,2380.0,2488.3,2508.7,2384.4,2502.1,2633.8,2558.1,2439.8,2476.6,2643.8,2556.3,1759.2,1872.0
Total_Liabilities,1151.9,1214.9,1456.8,1407.4,1362.3,1527.2,1576.6,1523.5,1470.1,1404.3,1516.7,1440.9,1316.6,1360.6,1413.1,1350.7,1127.3,1125.0,1282.6,1300.7,843.8,926.9
