AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.475,0.423,0.531,0.4,0.422,0.404,0.418,0.447,0.618,0.728,0.573,0.552,0.475,0.599,0.57,0.488,0.51,0.537,0.513,0.424
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,49.4,49.4,49.4,49.3,49.3,49.2,49.2,19.6,19.6,19.6,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,21.9,20.5,18.6,16.7,15.3,15.8,15.6,15.3,14.8,14.9,13.3,14.1,13.4,13.2,12.6,12.2,11.7,11.4,11.0,10.5
Shares_Diluted,17.0268,17.0268,17.0268,17.0268,17.0268,17.0268,17.0268,17.0268,8.5134,8.5134,8.5134,8.5135,8.5313,8.537,8.5378,8.5378,8.5378,8.5378,8.5378,8.5381
Total_Assets,2729.1,2616.3,2584.2,2571.7,2521.7,2345.1,2282.8,2200.3,2142.8,1864.9,1799.1,1676.8,1584.5,1444.0,1409.7,1269.5,1273.8,1195.3,1187.9,1151.5
Total_Liabilities,2550.4,2448.1,2424.6,2414.0,2364.8,2185.1,2128.0,2050.8,2003.7,1726.2,1666.1,1548.0,1460.5,1323.4,1293.2,1157.1,1165.5,1091.2,1088.2,1055.3
