AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.212,-0.135,-0.03,-0.198,-0.229,-0.081,0.095,-0.084,2.314,-0.094,-0.014,-0.311,-0.232,-0.154,-0.035,0.119,-0.236,-0.177,-0.076,-0.142
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,6.0,6.1,3.3
Revenue,0.8,1.9,2.2,0.9,0.7,2.0,2.6,0.9,9.0,2.1,1.8,0.6,0.7,1.7,1.8,0.8,0.7,1.5,1.8,0.9
Shares_Diluted,2.4086,2.4086,2.4086,2.4086,2.4086,2.4086,2.4087,2.4149,2.4272,2.4273,2.4274,2.4274,2.4274,2.4274,2.4381,2.4435,2.4435,2.4435,2.4435,2.4436
Total_Assets,20.1,20.7,21.4,21.6,21.6,22.5,23.2,23.7,24.0,17.9,18.1,17.6,17.9,18.6,21.0,21.2,26.4,27.0,28.1,28.3
Total_Liabilities,1.2,1.3,1.7,1.9,1.3,1.8,2.7,3.4,3.4,2.9,3.5,3.0,2.5,2.7,4.1,4.2,9.6,9.7,10.9,11.0
