AAII_QTR_DATA,12/31/2022,06/30/2022,06/30/2021,03/31/2021,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.331,-1.231,0.614,1.302,0.231,0.479,-0.376,0.379,0.39,0.26
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.2,0.5,1.2,1.4,2.7,2.8,3.0,3.2,3.4,0.0
Revenue,4.0,,8.9,2.0,3.4,3.5,3.7,3.6,3.9,4.8
Shares_Diluted,10.23,10.2841,10.2841,10.2841,10.2841,10.2841,10.2841,10.2841,10.2841,10.2841
Total_Assets,212.5,216.5,242.9,238.4,304.9,328.4,360.2,377.1,389.2,417.0
Total_Liabilities,6.6,4.6,12.6,14.4,97.6,123.5,160.3,168.2,184.2,216.5
