AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.343,0.209,0.33,0.274,0.205,0.268,0.29,0.273,0.279,0.297,0.115,0.119,0.092,0.156,0.15,0.146,0.057,0.073,0.099,0.091
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,18.8,18.8,18.7,18.7,18.7,18.7,18.6,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0.0
Revenue,7.9,7.7,6.5,5.7,5.1,5.3,5.4,5.0,5.3,5.7,4.6,4.4,4.1,4.1,3.9,3.7,3.4,3.3,3.0,2.8
Shares_Diluted,7.0891,6.8184,7.0704,7.084,7.0574,6.9878,7.0425,7.041,7.056,7.0081,7.0081,7.0031,7.0031,6.7757,6.9751,6.9734,6.9726,6.9924,6.9671,6.9551
Total_Assets,764.5,754.2,780.7,712.5,706.5,691.7,684.3,663.7,637.0,537.1,534.5,513.3,385.4,364.2,360.4,347.2,323.0,309.5,302.8,282.5
Total_Liabilities,715.1,708.1,737.9,667.5,660.5,642.5,636.4,617.4,593.1,494.9,494.1,474.0,347.7,326.8,324.1,312.1,289.5,276.9,270.7,251.1
