AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.413,1.049,2.06,1.103,1.288,4.344,3.105,0.62,3.825,-0.406,0.114,0.068,0.131,0.256,0.109,0.447
Goodwill_Intangibles,271.7,274.7,278.2,172.9,174.0,175.2,171.5,163.8,166.3,169.7,172.9,175.1,178.3,185.7,85.6,86.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,186.2,186.8,186.6,467.8,461.0,590.6,431.3,495.7,419.3,471.2,403.1,450.7,417.2,332.8,397.5,367.8
Revenue,302.4,410.6,494.3,412.2,458.8,747.5,591.7,321.3,418.8,196.7,281.1,252.0,292.2,224.1,259.9,221.0
Shares_Diluted,30.153,31.772,30.72,32.724,33.858,33.565,29.138,29.97,29.316,28.598000000000006,31.001,31.264,31.522,31.625,31.101,30.844
Total_Assets,8755.1,8426.0,8748.8,10943.6,10157.0,9946.8,7828.2,5790.7,5520.0,4732.1,5162.0,4816.8,4862.2,4160.2,3346.3,3462.2
Total_Liabilities,7587.1,7270.1,7612.2,9860.5,9059.7,8839.9,6858.7,4879.5,4618.3,3947.2,4352.2,3999.7,4044.8,3345.4,2551.9,2653.9
