AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.204,-4.441,0.596,4.356,6.392,-3.814,2.551,5.2,-3.052,-0.218,2.955
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.9,6.2,5.8,6.2,4.4,5.1,5.2,4.4,4.0,4.2,3.9
Shares_Diluted,8.283,8.3445,8.3759,8.3759,8.3692,8.4765,8.4739,8.479,8.4841,8.6108,8.6112
Total_Assets,337.5,337.6,388.9,413.4,390.5,352.2,386.1,359.7,325.8,385.7,389.2
Total_Liabilities,2.7,2.3,6.1,4.6,8.5,12.0,9.4,0.4,4.0,3.9,0.9
