AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.191,0.268,0.321,0.289,0.204,0.16,0.252,0.166,0.184,0.059000000000000004,-0.02
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,69.9,101.7,170.8,170.8,166.7,0.0,0.0,31.5,31.5,31.5,31.5
Revenue,4.5,4.6,4.6,4.5,4.3,3.6,5.0,3.9,3.0,1.8,1.4
Shares_Diluted,8.239,8.207,8.19,8.177,8.169,8.187,8.156,5.401,3.142,3.133,3.129
Total_Assets,272.3,294.2,292.2,290.0,282.8,251.9,217.8,271.6,196.2,163.9,112.4
Total_Liabilities,181.8,205.3,201.2,201.5,196.8,165.7,131.1,185.2,136.3,104.2,53.0
