AAII_QTR_DATA,04/02/2023,12/31/2022,10/02/2022,07/03/2022,04/03/2022,12/31/2021,10/03/2021,07/04/2021,04/04/2021,12/31/2020,09/27/2020,06/28/2020,03/29/2020,12/31/2019,09/29/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,22678.3,24836.3,21241.4,21358.7,19607.2,19587.2,16882.4,18024.8,15770.8,15840.8,14469.3,14121.5,14350.0,13707.1,11979.7,12064.3,12192.8,12402.8,11570.6
Current_Liabilities,18249.7,19364.7,16871.9,15761.1,14658.3,13242.5,9866.3,9426.4,6837.8,6566.5,4963.0,4847.2,5285.0,5303.9,4406.0,4501.9,4364.2,4465.7,4139.0
Diluted_EPS,5.334,4.986,4.62,3.811,1.865,4.715,4.586,2.713,3.184,3.216,2.518,1.876,1.052,3.044,1.764,1.376,0.987,2.19,1.865
Goodwill_Intangibles,5781.7,5812.6,5842.4,5870.4,5899.8,5930.7,5943.3,5968.9,5538.5,5646.2,5545.3,5860.4,6354.2,6378.9,6721.9,6927.4,6684.5,6648.2,6594.6
Inventory,7959.7,7752.6,7412.7,6856.1,6539.9,5577.0,5323.9,5476.9,4721.5,4543.8,4587.9,4904.0,4909.8,4304.1,4622.6,4772.1,4415.4,4050.7,3971.6
LT_Debt,3807.6,3784.1,3772.1,4722.1,4255.2,4388.0,4421.1,4974.7,4608.2,4636.7,4600.8,4840.6,4370.7,3512.1,3762.2,3819.0,3615.2,3564.3,3485.1
Revenue,7264.3,6924.0,6222.1,5847.6,3805.8,5368.5,5643.8,4329.0,4339.5,4230.4,3935.8,3480.7,2757.7,4560.8,3544.4,3130.8,2614.3,3700.9,3240.3
Shares_Diluted,394.8,392.3,396.6,398.6,401.5,405.0,408.6,412.0,415.8,417.6,419.2,419.0,419.7,421.0,421.7,421.8,422.5,423.4,425.9
Total_Assets,37846.9,39088.3,35322.8,34363.5,32553.6,32552.7,29394.5,29951.7,27066.3,27114.7,25320.8,25439.0,26301.6,25569.4,24565.8,24425.3,23878.9,23715.2,22710.9
Total_Liabilities,27309.0,29600.8,26756.8,26127.5,23066.6,21633.3,17008.7,16929.7,13513.7,13326.9,11655.3,12147.3,12149.2,11341.4,10239.8,10349.3,9845.5,10005.6,9692.0
