AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,06/30/2020,12/31/2019,06/30/2019
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.421,-0.283,-0.429,-0.128,-0.097,-0.336,-0.805,-0.347
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,2.5,2.2,2.1,0.8,0.2,,,
LT_Debt,2.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.2,0.3,0.0,,,0.2,0.1,0.0
Shares_Diluted,10.9598,10.9598,10.9598,10.9598,10.9598,10.9598,10.9598,10.9598
Total_Assets,49.2,52.7,44.6,47.9,19.8,15.3,19.0,28.8
Total_Liabilities,55.0,53.8,42.7,41.3,11.8,0.0,0.1,1.0
