AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.444,0.578,0.568,0.557,0.546,0.548,0.485,0.436,0.37
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,24.6,24.6,24.6,49.6,24.8,0.0,0.0,0.0,0.0
Revenue,23.5,23.6,21.2,19.6,19.7,18.7,18.0,18.6,18.7
Shares_Diluted,14.1567,14.14,14.1083,14.0852,13.9917,,,,
Total_Assets,2351.3,2348.2,2305.5,2316.4,2249.6,,,,
Total_Liabilities,2130.5,2135.4,2103.3,2108.8,2044.8,,,,
