AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.072,0.022,0.009,-0.011,-0.035,0.104,0.075,-0.133,0.099,0.108,0.056,0.057999999999999996
Goodwill_Intangibles,60.7,63.5,66.8,70.8,74.4,78.4,79.8,84.6,88.5,92.5,97.1,103.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1745.3,1745.2,1745.1,1744.9,1741.5,2456.5,1624.9,1631.1,1640.4,1647.6,1622.0,1559.1
Revenue,121.2,119.4,107.2,107.4,96.8,118.7,120.8,119.7,118.4,122.7,119.4,119.1
Shares_Diluted,214.069,214.348,213.388,213.385,213.337,213.215,213.624,212.995,213.09,213.223,215.093,219.021
Total_Assets,3615.8,3598.9,3637.2,3634.8,3621.4,4369.6,3586.4,3600.5,3653.1,3668.4,3647.5,3657.5
Total_Liabilities,2037.0,2021.9,2059.6,2052.0,2031.0,2775.4,1953.9,1956.2,1939.9,1936.6,1900.9,1838.1
