AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-9.388,-17.463,-7.412,-9.197,-0.556,0.706,4.087,1.238,-0.117,-0.339,-0.105,-0.1969999999999999,-0.131,0.321,-0.28,-0.139,-0.203,-0.04
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,23.1,24.9,28.5,23.4,15.3,4.8,5.8,4.5,5.5,5.5,4.9,2.7,4.0,4.0,0.0,0.0,0.0,0.0
Revenue,9.2,4.8,11.7,10.3,28.6,26.3,18.0,14.1,13.9,24.3,7.8,8.3,9.9,13.2,17.7,4.3,0.7,5.0
Shares_Diluted,0.7206,0.7185,0.7175,0.7012,0.66,5.2057,0.7529,0.7526,13.2691,5.6457,4.1801,,5.7274,5.7274,,,,
Total_Assets,242.0,236.2,227.4,208.3,184.5,169.7,128.0,109.7,56.0,33.6,45.6,33.7,31.8,31.8,,,,
Total_Liabilities,173.1,160.6,139.3,115.0,84.9,68.7,63.7,48.6,24.7,25.9,36.1,34.6,31.9,31.9,,,,
