AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.874,-0.659,-0.655,-1.075,-0.135,-0.063,-0.474,-1.687,-0.48100000000000004,-1.425,1.314,-0.6459999999999999,-0.812,-0.042
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.2,2.4,,3.2,2.1,,,,,4.3,0.5,0.3,0.5
Shares_Diluted,6.7755,6.4776,5.8147,5.0326,5.0104,4.993,4.9572,5.8931,6.0681,6.0678,6.0329,6.0158,6.0128,6.0128
Total_Assets,37.3,35.6,40.8,43.9,42.7,36.0,34.7,37.0,51.8,54.8,63.5,164.1,178.7,156.3
Total_Liabilities,9.6,5.8,6.8,11.5,5.0,2.0,0.5,0.6,0.4,0.5,0.5,108.4,119.1,92.8
