AAII_QTR_DATA,11/30/2022,05/31/2022,11/30/2021,05/31/2021,11/30/2020,05/31/2020,11/30/2019,05/31/2019,11/30/2018,05/31/2018,12/31/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.236,0.316,-0.101,0.669,1.092,-0.944,0.384,0.263,0.111,-1.37,0.852
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,207.0,159.8,159.8,159.8,159.8,151.8,184.8,97.5,100.0,105.0,120.0
Revenue,10.1,9.5,9.3,8.8,10.4,10.5,5.2,7.4,7.3,7.4,7.5
Shares_Diluted,89.0122,48.1444,48.0957,47.5515,47.0534,47.4355,69.8564,24.6325,24.642,24.4941,24.5452
Total_Assets,726.5,591.0,593.2,620.8,606.8,570.2,688.0,349.9,366.6,381.9,442.6
Total_Liabilities,210.8,169.5,166.7,169.1,165.2,157.2,200.1,100.4,107.6,109.8,123.4
