AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.1,0.1,0.1,0.1,1.6,2.1,2.1,2.2,2.2,2.1,2.2,2.4,2.4,2.4,2.3,2.4
Diluted_EPS,-0.003,0.0,0.0,0.0,0.0,-0.154,0.03,0.0,-0.153,-0.034,-0.032,0.021,0.066,-0.003,-0.055,-0.038,-0.001,0.0819999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,34.1683,104.2466,102.4466,102.4466,102.4466,81.2562,13.8321,13.8321,2.404,2.0051,2.0051,1.0874,3.2213,1.034,1.034,1.034,1.034,1.034
Total_Assets,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.0,0.0,0.1,0.1,0.1,0.1,1.6,2.1,2.1,2.2,2.2,2.1,2.2,2.4,2.4,2.4,2.3,2.4
