AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.263,0.208,0.186,0.173,0.161,0.086,0.049,0.01,0.0,0.098,0.129,0.21,0.217,0.17,0.298,0.353
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.5,2.8,2.4,2.3,2.2,1.3,0.7,0.3,0.4,1.8,2.0,3.0,3.1,2.3,3.8,4.5
Shares_Diluted,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657,12.1657
Total_Assets,84.1,84.7,85.7,86.4,87.6,88.6,89.1,89.3,89.4,89.7,90.3,90.8,91.6,92.0,93.6,92.9
Total_Liabilities,1.2,0.9,0.8,0.6,0.7,0.6,0.2,0.1,0.0,0.2,0.6,0.9,0.9,0.5,1.4,1.6
