AAII_QTR_DATA,04/30/2022,01/31/2022,10/31/2021,07/31/2021,01/31/2021,10/31/2020,07/31/2015,04/30/2015,01/31/2015
Current_Assets,0.1,,,0.0,0.0,0.0,0.0,0.2,0.0
Current_Liabilities,0.2,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.4
Diluted_EPS,-0.014,-0.015,-0.045,-0.008,0.0,0.0,-0.146,-159.642,-0.013000000000000001
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.1,,,,,,,,0.0
Shares_Diluted,0.4196,0.9396,0.9396,,,,0.9021,0.7409,30.7966
Total_Assets,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Total_Liabilities,0.2,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.4
