AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.495,-0.319,-0.12,-0.028,-0.394,-0.12,0.234,0.216,-0.073,-0.04
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,11.9,16.7,18.8,15.4,19.0,26.1,31.4,29.1,27.5,28.0
Shares_Diluted,102.7969,71.4497,134.1442,134.1442,134.1442,134.1442,134.1442,134.1442,134.1442,134.1442
Total_Assets,495.3,584.9,796.2,851.6,868.4,929.6,959.3,957.5,948.2,994.1
Total_Liabilities,7.1,23.7,14.2,32.4,33.0,24.2,12.7,12.5,5.9,21.3
