AAII_QTR_DATA,04/30/2022,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018,10/31/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-1.038,0.078,0.59,0.885,-0.755,0.418,0.464,0.004,0.012,0.297
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,49.8,40.6,31.4,31.4,26.2,19.8,27.2,34.0,34.0,35.9
Revenue,9.3,9.4,9.6,9.8,10.2,11.1,11.6,12.2,12.7,12.8
Shares_Diluted,48.7746,48.9992,48.8893,48.88,48.88,49.2042,49.2042,48.3907,52.4246,53.7351
Total_Assets,511.4,553.5,541.6,529.6,529.2,531.9,521.4,521.9,551.1,568.6
Total_Liabilities,72.1,53.1,36.1,43.6,40.7,31.4,31.9,37.5,43.7,42.3
