AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.733,0.765,0.809,2.95,2.064,0.775,0.72,0.296,0.24100000000000002,0.362,0.516,0.51,0.48,0.47,0.447,0.43,0.4
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,20.9,21.3,21.8,22.3,22.8,23.3,23.8,24.3,15.1,15.5,16.0,16.0,16.0,16.0,16.0,0.0,0.0
Revenue,13.5,12.5,12.5,35.0,22.7,11.3,11.7,11.2,10.8,10.6,10.7,10.4,10.1,9.8,9.2,9.4,8.8
Shares_Diluted,6.2279,6.2257,6.2167,6.2353,6.2155,6.2717,6.2605,6.2664,6.2971,6.2945,6.465,6.2189999999999985,6.1628,6.1462,6.2591,,
Total_Assets,1449.2,1398.8,1334.9,1294.0,1238.1,1146.2,1110.0,1127.0,1168.8,997.4,906.7,909.2,881.7,865.9,849.1,,
Total_Liabilities,1334.6,1281.5,1213.9,1176.6,1122.9,1038.9,1006.1,1028.0,1072.1,903.0,815.7,821.6,797.4,785.4,772.7,,
