AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.703,1.579,-0.302,-0.012,0.429,0.672,1.048,0.703,0.292,0.642
Goodwill_Intangibles,144.2,136.4,127.2,121.9,116.8,110.7,108.2,115.3,109.3,106.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,41138.7,41369.3,40636.8,40216.9,39194.1,37632.6,36765.5,35647.2,34883.0,33502.9
Revenue,2041.4,2056.5,1930.4,2080.2,1941.0,2020.5,1979.2,1964.5,1844.0,1843.4
Shares_Diluted,306.2798,310.3073,319.7736,334.026,340.4645,345.956,351.5563,352.0519,357.5473,361.4452
Total_Assets,48887.5,48448.9,47268.7,47106.9,48933.5,47279.0,46416.1,45045.9,43959.9,42807.0
Total_Liabilities,43265.5,43354.1,42373.2,41960.8,41614.9,39933.8,39078.8,37887.4,36941.5,35665.7
