AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,03/31/2018,03/31/2017,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.224,0.15,0.278,0.243,0.239,0.272,0.296,0.263,0.295,0.0,0.271,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,150941.5,148229.0,144139.0,139510.7,137242.0,128938.8,128938.8,126288.7,124091.0,123029.6,116985.1,97393.4,97393.4,97393.4,0.0,86693.2,89183.6,85324.5,83182.5,81679.6,82489.1
Revenue,1276.6,1129.6,848.8,620.4,509.6,503.0,501.4,481.2,481.4,488.6,515.9,593.9,726.1,595.0,476.0,896.7,908.4,887.8,868.6,855.3,862.0
Shares_Diluted,925.7179,1427.997,758.2915,758.2915,758.2915,,654.0908,654.0908,654.0908,,568.4521,568.4521,,,,,,,,,
Total_Assets,159363.4,156462.8,151843.0,146893.1,144517.6,136486.9,136486.9,133672.5,131300.3,130308.1,124262.8,103608.0,103608.0,103608.0,,106246.2,108620.5,104275.7,101589.2,99668.6,100329.5
Total_Liabilities,151949.8,149277.2,144903.1,140113.0,137731.6,129473.1,129473.1,126800.0,124572.7,123728.6,117723.7,97899.4,97899.4,97899.4,,88040.0,90814.1,86526.1,84293.4,82782.0,83850.3
