AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.38,-0.13,0.338,0.432,0.378,0.524,0.448,0.471,0.313,0.134,0.289,0.40700000000000003,0.363,0.321,0.282,0.336
Goodwill_Intangibles,2131.8,2144.6,1071.7,1074.2,1077.0,1079.9,1083.0,1086.3,1089.7,1093.3,1097.1,1101.0,1104.5,1108.8,1113.3,870.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,621.5,595.3,296.7,271.0,265.0,265.5,252.8,237.7,237.9,236.1,243.7,251.8,251.8,251.6,247.9,251.7
Revenue,354.4,235.5,156.9,162.0,160.5,159.2,173.2,160.1,162.0,168.0,176.6,185.9,189.1,178.9,175.2,155.4
Shares_Diluted,291.881,227.002,166.13,165.939,165.934,165.707,165.598,165.419,165.30200000000002,168.40400000000002,170.167,171.551,173.675,175.368,168.308,152.784
Total_Assets,45748.4,45834.6,24453.6,24018.7,23675.7,23744.5,22960.6,22460.5,22102.2,20741.1,20411.7,20438.8,20145.3,20084.4,19728.4,17567.8
Total_Liabilities,40669.6,40602.5,21441.5,20982.8,20684.5,20765.0,19988.0,19539.3,19237.9,17917.7,17559.2,17606.3,17342.1,17332.5,17038.9,15347.1
