AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.152,0.29,0.131,0.108,0.081,0.194,0.312,0.169,0.209,0.192,0.335,-0.034,0.095,0.191,0.215,0.113,0.048,0.109,0.156,0.17
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.3,3.5,3.3,3.0,2.9,3.5,3.6,3.3,3.2,3.5,3.3,3.3,3.5,3.6,3.6,3.6,3.7,3.8,3.9,3.5
Shares_Diluted,2.8671,2.8637,2.8604,2.8576,2.8553,2.8527,2.8501,2.8472,2.8438,2.8408,2.837,2.833,2.8294,2.8266,2.8233,2.82,2.8165,2.8131,2.8098,2.8066
Total_Assets,363.4,381.4,415.6,429.4,437.4,442.1,432.8,432.8,436.7,419.5,430.9,418.2,380.5,384.9,383.4,377.6,393.1,413.0,411.4,401.5
Total_Liabilities,345.2,365.4,401.3,408.1,410.2,406.4,397.9,397.4,403.2,382.4,394.4,382.3,344.6,349.3,348.1,342.7,358.6,379.0,378.0,367.9
