AAII_QTR_DATA,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.007,0.027,0.067,-0.015,0.41,-0.165,-0.239,-1.09
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,110.9,110.3,109.7,116.7,114.7,114.3,112.8,105.1
Revenue,4.3,9.1,18.8,7.4,,0.1,0.0,
Shares_Diluted,157.6551,175.5813,199.9227,157.1281,195.98,156.96,156.9191,155.9494
Total_Assets,174.4,175.1,172.7,165.7,165.3,85.4,106.5,136.7
Total_Liabilities,116.1,115.9,118.1,123.6,120.8,121.3,116.6,109.5
