AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.34,0.214,0.349,0.582,0.765,0.522,0.384,0.345,0.264,0.196,0.216,0.051,0.589,0.263,0.299,0.217,0.201,0.345,0.26
Goodwill_Intangibles,84.4,85.0,85.7,86.3,87.0,87.6,88.3,88.9,89.6,90.2,90.9,91.6,92.3,93.0,93.7,36.6,36.9,35.1,35.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.8,6.7,6.7,7.4,8.3,9.3,10.2,11.1,12.0,12.9,13.8,14.6,15.5,16.4,17.3,0.2,0.2,0.0,0.0
Revenue,29.4,28.5,29.0,32.2,33.5,33.8,33.5,33.1,31.2,28.4,27.2,24.0,28.4,27.8,27.8,23.9,22.6,24.8,24.9
Shares_Diluted,9.5779,9.633,9.8471,9.9134,9.8911,9.7313,9.6911,9.6785,9.66,9.5781,9.5406,9.5207,9.3961,9.2122,8.8726,8.5872,8.5229,8.3981,8.3257
Total_Assets,178.6,212.7,205.1,207.3,197.9,229.3,212.9,202.8,192.2,213.8,201.2,193.5,189.2,214.2,203.1,151.3,146.5,133.4,120.7
Total_Liabilities,94.2,128.1,118.0,116.6,111.6,149.0,137.4,129.1,120.5,143.1,131.8,124.6,119.3,149.2,140.1,93.6,89.9,77.3,67.3
