AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,26619.6,28193.9,31654.7,30852.5,26595.9,24165.5,22539.6,18925.8,14639.6,13507.9,13477.1,15194.7,16074.1,18628.8,19734.1,21518.9,19632.7,20367.1,21723.9,21913.5,20400.1
Current_Liabilities,16474.0,18217.3,21671.7,23481.8,19842.2,18648.0,17765.0,15825.7,12345.5,10460.1,10593.3,12004.6,15148.7,17044.7,16150.0,18178.3,14771.4,15086.3,14039.4,14645.9,14551.7
Diluted_EPS,0.915,0.801,0.506,0.854,1.012,0.394,0.495,0.419,0.408,-0.466,-0.068,-1.348,-0.359,-3.773,0.255,0.404,0.455,0.124,0.45,0.6809999999999999,0.442
Goodwill_Intangibles,2806.1,2127.8,3028.0,3377.9,3451.1,3765.6,3614.8,3567.4,3456.5,3334.2,3851.3,4135.2,4837.1,5050.7,6574.9,6382.5,5971.9,6001.6,5735.4,5611.7,5378.6
Inventory,8297.8,7853.1,8314.0,9711.7,7916.6,5628.4,5639.2,4970.5,4282.9,3360.1,3406.8,3397.3,4290.3,5194.2,5070.0,5824.1,5090.0,5170.1,5701.2,5557.6,5119.5
LT_Debt,9863.5,10908.0,10059.5,9795.6,11067.4,10967.2,10517.1,9034.4,11721.0,109.4,12342.5,13142.3,12551.0,12156.7,13755.0,12891.8,13806.2,9369.8,9235.5,9143.7,9040.0
Revenue,16553.6,17152.3,22497.6,22609.6,18665.3,16681.8,14389.3,11655.3,10009.6,8484.2,8041.7,6390.6,11928.5,13810.9,14445.7,15618.0,14217.9,15429.0,15634.0,14700.1,12972.4
Shares_Diluted,1290.588,1362.757,1421.277,1427.106,1464.894,1494.709,1502.174,1460.098,1543.902,1545.501,1598.43,1564.286,1554.6470000000004,1584.017,1519.315,1562.082,1547.629,1549.5870000000002,1617.285,1607.039,1607.6660000000006
Total_Assets,64732.9,64569.2,69718.5,68245.4,63604.4,60574.3,58712.5,54385.9,51020.7,49025.9,51055.5,56091.0,62936.0,65416.1,75603.9,76782.8,73106.5,71578.3,71599.4,71544.1,68530.4
Total_Liabilities,36394.8,37332.7,40649.2,41411.6,37856.0,36438.9,35573.2,32088.6,30584.8,28844.6,29376.6,32341.3,35483.7,37249.7,38434.5,39408.2,36857.6,35507.7,34828.1,35190.9,34364.1
