AAII_QTR_DATA,03/31/2022,12/31/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,09/30/2018,06/30/2018,03/31/2018,09/30/2017
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.2,0.16,0.06,0.079,0.15,0.01,0.06,0.007,0.07,0.05,0.07,0.14,0.1,0.07,0.08
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,5.2,5.2,4.3,4.3,4.2,3.7,3.8,3.7,3.7,3.4,3.3,3.5,3.3,3.1,3.0
Shares_Diluted,5.57,5.6188,5.3333,5.7648,5.3533,7.1,5.2667,,5.7714,4.58,3.9714,4.2214,4.14,4.3,3.9
Total_Assets,695.9,673.0,631.0,544.0,518.5,494.5,447.7,420.1,405.7,405.7,392.7,376.9,376.6,368.6,356.2
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
