AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.561,1.122,0.374,0.226,0.198,0.566,0.227,0.162,0.888,0.136,-0.873,-0.057,0.228,0.228,0.096,-0.066,0.0819999999999999,0.021,0.034
Goodwill_Intangibles,0.6,0.6,0.6,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,8.4,6.8,6.5,5.5,4.9,5.3,5.2,5.0,4.8,4.8,4.7,4.8,5.0,5.1,5.1,5.2,5.5,5.2,5.0
Shares_Diluted,4.6782,4.6782,4.6782,4.6782,4.6782,4.7413,4.8786,4.8786,4.8786,4.8785,4.8829,4.8838,4.9276,4.9438,4.9432,4.9432,4.9432,4.9732,5.02
Total_Assets,985.3,861.6,882.1,864.2,939.4,819.0,825.3,767.7,752.3,668.0,689.0,656.5,646.1,594.7,617.5,622.4,633.0,616.8,619.4
Total_Liabilities,922.5,806.4,834.5,808.3,868.7,727.2,728.8,671.6,657.8,573.2,594.1,557.3,546.6,499.6,523.2,529.6,542.3,529.9,534.4
