AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-5.767,-5.476,-6.407,-14.457,-7.045,-2.266,-6.797,-6.908,-1.059,-1.297,-0.962,-0.415,-0.532,-0.523,-0.377,-0.457,-0.36,-0.4029999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,394.5,394.2,393.8,393.4,393.0,398.1,397.7,397.3,397.0,396.6,396.2,395.8,395.4,395.0,394.6,344.5,291.9,291.7
Revenue,15.5,16.2,15.9,31.9,15.6,24.2,15.8,15.0,15.2,9.9,17.0,18.6,17.5,18.3,18.6,16.5,17.1,16.2
Shares_Diluted,2.0389,1.8461,1.7285,1.7094,1.6625,1.6569,1.6367,1.6,12.78,12.7974,12.7722,12.7503,12.7503,12.7503,12.7503,12.7503,12.7503,12.7503
Total_Assets,786.3,790.5,802.2,805.9,810.2,823.1,832.1,841.4,851.2,861.8,878.0,887.7,897.2,901.4,909.3,867.3,822.3,773.7
Total_Liabilities,492.7,489.4,492.6,489.5,480.8,484.1,488.6,487.4,488.0,484.3,483.5,481.8,486.0,480.8,482.7,435.3,383.3,330.1
