AAII_QTR_DATA,03/31/2023,09/30/2022,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.11,0.221,0.227,0.176,0.276,0.245,0.257,0.167,0.16,0.062,0.096,0.129,0.182,0.166,0.122,0.145,0.1119999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,2.3,2.2,1.9,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.1,2.0,2.0
Shares_Diluted,,1.8435,1.8432,1.8434,1.845,1.8455,1.8538,1.852,1.8813,1.8418,1.8411,1.8402,1.8455,1.8958,1.8877,1.9064,1.9026
Total_Assets,,229.6,222.4,214.7,217.3,222.5,226.7,221.5,231.2,237.8,211.8,210.2,210.5,206.3,202.2,195.3,192.7
Total_Liabilities,,208.4,200.8,191.8,193.2,198.9,203.7,198.6,208.9,216.0,191.0,189.2,190.1,186.2,182.5,175.9,174.0
