AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.17,0.075,-2.608,0.069,0.138,0.247,0.156,-0.075,0.271,0.304
Goodwill_Intangibles,1.9,2.2,2.4,27.3,27.5,27.7,27.9,28.1,28.3,28.5
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,228.8,217.0,217.0,27.0,7.0,7.0,6.9,6.9,6.9,13.0
Revenue,12.1,11.9,11.3,10.7,11.3,13.4,12.9,12.0,13.5,13.0
Shares_Diluted,9.2874,9.2737,9.2492,9.2331,9.211,9.1811,9.173,9.1433,9.1157,9.1569
Total_Assets,1357.6,1356.8,1346.8,1117.0,1080.0,1109.8,1120.2,1138.7,1137.6,1156.7
Total_Liabilities,1260.1,1261.3,1252.3,998.6,961.8,992.5,1004.5,1025.2,1023.7,1044.7
