AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.304,-0.182,1.4,-0.214,-0.136,-0.274,-0.169,1.186,-0.382,1.081,-0.529,4.836,-0.083,-0.185,-0.215,-0.252
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1684.4,1609.2,1554.5,1543.8,1477.9,1344.8,1345.2,1331.1,1369.8,1369.4,1403.0,1160.6,978.1,968.3,838.0,916.6
Revenue,65.8,60.8,58.5,56.4,52.6,51.8,50.5,51.0,50.7,52.6,49.7,46.8,43.1,41.5,39.4,36.5
Shares_Diluted,25.672,25.62,27.656,25.175,25.14,25.068,24.796,24.926,24.307,25.851,25.085,24.557,23.736,23.55,22.215,20.775
Total_Assets,2242.2,2156.4,2063.5,2005.2,1936.9,1810.2,1829.2,1814.3,1817.0,1838.9,1866.0,1624.3,1276.9,1269.5,1161.2,1175.7
Total_Liabilities,1732.1,1643.9,1593.6,1599.8,1529.7,1386.7,1421.3,1423.4,1462.5,1446.7,1439.7,1204.5,1005.6,989.2,865.2,944.2
