AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-2.515,-0.491,-1.421,-2.893,-1.346,-2.776,-1.513,-1.566,0.149,-0.514,0.361,0.552,-0.302,-0.728,0.618
Goodwill_Intangibles,,,,,,0.0,11.0,11.0,11.0,11.0,,,,4.8,4.1
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,118.9,118.8,118.8,118.7,98.7,98.7,98.6,98.6,98.6,98.5,98.5,98.4,98.4,44.4,44.4
Revenue,42.2,67.0,66.7,59.0,52.7,84.8,97.3,134.0,115.7,109.0,99.5,105.3,101.2,96.4,110.8
Shares_Diluted,17.462,17.449,17.445,17.411,14.395,13.714,13.708,13.714,14.312000000000001,13.415,12.897,12.883,12.795,12.775,12.87
Total_Assets,1202.0,1412.7,1938.8,1356.0,1285.7,1428.5,1514.8,1214.8,1177.1,1179.0,1101.2,996.3,1035.6,925.4,890.6
Total_Liabilities,1187.8,1353.3,1867.6,1257.6,1138.6,1270.4,1313.3,993.1,937.9,930.3,863.8,765.5,817.7,710.1,667.7
