AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.066,-0.011,0.157,0.277,0.346,0.265,0.191,0.561
Goodwill_Intangibles,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.4,3.9,4.3,5.1,5.3,5.2,5.5,3.3
Shares_Diluted,6.7485,6.5678,6.6361,6.574,6.6662,6.6858,6.6857,6.6858
Total_Assets,93.4,92.4,92.5,90.7,90.4,89.1,87.7,84.7
Total_Liabilities,3.1,2.3,2.3,1.5,1.2,1.6,2.0,2.3
