Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3
,8/30/2019,0.101666801,2/22/2020,0.101666801,1/22/2020,0.101666801,,,
,5/31/2019,0.281677743,,0.281677743,,0.281677743,,,
,2/28/2019,0.128570481,,0.128570481,,0.128570481,,,
,11/30/2018,0.10831817,,0.10831817,,0.10831817,,,
,8/31/2018,0.213706326,,0.213706326,,0.213706326,,,
,5/31/2018,0.032357531,,0.032357531,,0.032357531,,,
,2/28/2018,-0.006788784,,-0.006788784,,,,,
,11/30/2017,0.015135125,,0.015135125,,,,,
,8/31/2017,0.087628631,,0.087628631,,,,,
,5/31/2017,0.240859707,,0.240859707,,,,,
,2/28/2017,0.09876870199999999,,0.09876870199999999,,,,,
,11/30/2016,0.274697623,,0.274697623,,,,,
,8/31/2016,0.060359099000000006,,0.060359099000000006,,,,,
,5/31/2016,0.313993649,,0.313993649,,,,,
,2/29/2016,0.347304942,,0.347304942,,,,,
,11/30/2015,0.27188218,,0.27188218,,,,,
,8/31/2015,0.29676278,,0.29676278,,,,,
,5/29/2015,0.260588047,,,,,,,
,2/27/2015,0.11717444199999999,,,,,,,
,11/28/2014,0.150841075,,,,,,,
,8/29/2014,0.116314462,,,,,,,
,5/30/2014,0.11889213900000001,,,,,,,
,2/28/2014,0.066658188,,,,,,,
,11/29/2013,0.092453889,,,,,,,
,8/30/2013,0.060729516,,,,,,,
,5/31/2013,0.163226791,,,,,,,
,2/28/2013,0.18822184399999997,,,,,,,
,11/29/2012,0.23233161800000002,,,,,,,
,8/31/2012,0.184242424,,,,,,,
,5/30/2012,0.266725019,,,,,,,
,2/28/2012,0.15854711400000002,,,,,,,
,11/30/2011,0.127972111,,,,,,,
,8/31/2011,0.126647851,,,,,,,
,5/31/2011,0.223455607,,,,,,,
,2/28/2011,0.119605219,,,,,,,
,11/30/2010,0.038069122000000004,,,,,,,
,8/31/2010,0.057146394,,,,,,,
,5/28/2010,0.136154541,,,,,,,
,2/26/2010,0.100757698,,,,,,,
,11/30/2009,0.155724442,,,,,,,
,8/31/2009,0.09961093300000001,,,,,,,
,5/29/2009,0.10437432099999999,,,,,,,
,2/27/2009,0.009731291999999999,,,,,,,
,11/28/2008,0.017195253,,,,,,,
,8/29/2008,0.04617253,,,,,,,
,5/30/2008,0.21862158,,,,,,,
,2/29/2008,0.116000269,,,,,,,
,11/30/2007,0.036020373,,,,,,,
,8/31/2007,0.11046066199999999,,,,,,,
,5/31/2007,0.03,,,,,,,
,2/28/2007,0.08,,,,,,,
,11/30/2006,0.04,,,,,,,
,8/31/2006,0.05,,,,,,,
,5/31/2006,0.05,,,,,,,
,2/28/2006,0.03,,,,,,,
,11/30/2005,0.04,,,,,,,
,8/31/2005,0.04,,,,,,,
,5/31/2005,0.06,,,,,,,
,2/28/2005,-0.01,,,,,,,
,11/30/2004,0.0,,,,,,,
,8/31/2004,0.02,,,,,,,
,5/28/2004,0.07,,,,,,,
,2/27/2004,0.02,,,,,,,
,11/28/2003,-0.04,,,,,,,
,8/29/2003,-0.07,,,,,,,
,5/30/2003,-0.14,,,,,,,
,2/28/2003,0.05,,,,,,,
,11/29/2002,0.08,,,,,,,
,8/30/2002,0.13,,,,,,,
,5/31/2002,-0.18,,,,,,,
,2/28/2002,0.1,,,,,,,
,11/30/2001,0.06,,,,,,,
,8/31/2001,0.14,,,,,,,
,5/31/2001,0.15,,,,,,,
,2/28/2001,0.12,,,,,,,
,11/30/2000,0.04,,,,,,,
,8/31/2000,0.06,,,,,,,
,5/31/2000,0.001,,,,,,,
,2/28/2000,0.172,,,,,,,
,11/30/1999,0.087,,,,,,,
,8/31/1999,0.05,,,,,,,
,5/28/1999,-0.048,,,,,,,
,2/26/1999,0.165,,,,,,,
,11/30/1998,0.10300000000000001,,,,,,,
,8/31/1998,0.04,,,,,,,
,5/29/1998,-0.031,,,,,,,
,2/27/1998,0.131,,,,,,,
,11/28/1997,0.04,,,,,,,
,8/29/1997,0.03,,,,,,,
,5/30/1997,0.08199999999999999,,,,,,,
,2/28/1997,0.068,,,,,,,
,11/29/1996,0.03,,,,,,,
,8/30/1996,0.02,,,,,,,
,5/31/1996,0.05,,,,,,,
,2/29/1996,0.08,,,,,,,
,11/30/1995,0.03,,,,,,,
