AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,0.4,0.4,0.1,0.0,0.0,0.0
Cash_from_Operations,7.6,8.0,3.6,3.1,2.9,1.6
Diluted_EPS,0.096,0.147,-0.13,0.134,0.143,0.067
Goodwill_Intangibles,22.3,24.2,26.0,11.5,11.5,11.5
LT_Debt,4.1,5.7,8.4,0.0,0.0,0.0
Net_Income,2.8,4.4,-3.2,2.8,3.0,1.4
Revenue,24.2,22.0,10.6,8.8,7.2,5.3
Shares_Diluted,29.399,29.7402,24.3906,20.8059,20.8059,20.8059
Total_Assets,44.6,40.1,35.1,16.8,14.3,12.8
Total_Liabilities,14.5,13.0,12.6,1.0,0.6,0.6
