AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,17.4,21.7,29.3,25.8,38.3,66.5
Cash_from_Operations,631.4,706.9,1009.3,310.7,-205.8,379.1
Diluted_EPS,0.537,0.876,0.777,0.775,0.792,0.347
Goodwill_Intangibles,1388.5,1391.4,1549.0,1551.0,1570.6,1508.0
LT_Debt,1932.5,2608.6,2563.3,2943.6,2620.0,1223.0
Net_Income,1233.0,2381.7,1750.9,1889.6,1930.4,845.5
Revenue,8236.8,8768.3,7374.3,6769.2,5733.5,3940.5
Shares_Diluted,2294.736,2719.504,2252.058,2438.146,2438.146,2438.146
Total_Assets,49501.0,51084.2,35275.2,21193.4,16712.6,25562.2
Total_Liabilities,36293.2,37895.7,23715.7,14384.4,11762.1,22633.0
