AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.1,0.1,0.0,0.0,0.3,0.5
Cash_from_Operations,31.1,47.4,48.4,29.3,27.8,22.4
Diluted_EPS,0.446,-0.513,0.397,0.249,0.193,0.167
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,40.4,-46.1,35.5,24.0,18.6,16.1
Revenue,89.9,92.1,83.9,61.0,48.5,39.9
Shares_Diluted,90.6025,89.8425,89.5457,96.1123,96.1123,96.1123
Total_Assets,69.6,109.7,61.6,27.0,35.5,55.5
Total_Liabilities,68.2,151.3,58.5,37.4,31.7,22.4
