AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,8.0,7.2,2.5,1.8,5.3,3.7
Cash_from_Operations,-119.7,-70.7,16.8,-26.1,-23.7,-15.3
Diluted_EPS,-2.096,-1.422,-0.408,-0.4,-0.463,-0.283
Goodwill_Intangibles,5.4,,,0.0,0.0,0.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-149.2,-100.4,-24.5,-24.6,-28.4,-17.4
Revenue,181.0,137.9,108.1,85.5,66.6,55.7
Shares_Diluted,71.1734,70.595,60.0247,61.4472,61.4472,61.4472
Total_Assets,688.6,756.5,746.3,155.3,120.7,58.0
Total_Liabilities,240.7,199.4,122.2,57.1,30.6,21.1
