AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.1,0.0,0.0,0.4,0.0,0.0
Cash_from_Operations,-27.2,-23.6,-9.2,-11.4,-10.9,-1.3
Diluted_EPS,-0.495,-0.732,-0.691,-0.53,-0.616,-0.073
Goodwill_Intangibles,0.3,0.4,0.5,0.5,0.6,0.7
LT_Debt,0.0,0.1,0.1,0.1,0.3,0.2
Net_Income,-30.9,-31.6,-20.6,-13.7,-15.9,-1.7
Revenue,,0.1,,,,
Shares_Diluted,62.506,43.2228,29.8571,25.8223,25.8013,22.7267
Total_Assets,62.0,87.9,15.9,15.5,24.7,3.2
Total_Liabilities,9.8,11.6,2.6,0.8,2.4,0.4
