AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,4.8,38.6,50.8,8.7,1.7,0.1
Cash_from_Operations,7.7,-593.3,85.5,182.1,34.3,-7.0
Diluted_EPS,0.007,-1.717,-0.824,0.127,-0.012,-0.076
Goodwill_Intangibles,2.7,0.1,12.2,0.1,0.1,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,1.9,-439.9,-197.4,26.7,-2.7,-17.8
Revenue,354.1,930.0,1009.8,299.7,56.3,13.8
Shares_Diluted,263.9859,256.1852,239.5875,209.2158,234.9738,234.9738
Total_Assets,691.1,712.1,1514.5,481.1,47.9,14.6
Total_Liabilities,252.3,303.8,702.4,260.4,51.7,22.0
