AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.3,0.6,3.3,1.3,1.9
Cash_from_Operations,-192.3,-141.5,-112.5,-81.9,-74.0
Diluted_EPS,-0.986,-0.694,-0.953,-0.396,-0.239
Goodwill_Intangibles,570.3,595.2,249.4,257.4,182.7
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-270.4,-176.3,-224.4,-87.2,-52.7
Revenue,277.2,252.8,245.3,148.9,114.0
Shares_Diluted,274.2497,254.0689,235.6041,220.1646,220.1646
Total_Assets,1217.6,1445.8,1376.6,499.9,489.3
Total_Liabilities,153.7,206.6,152.5,151.2,145.4
