AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,3.2,2.9,1.0,0.7,,
Cash_from_Operations,74.2,53.3,28.5,21.3,-1.0,0.0
Diluted_EPS,0.116,-0.601,-2.024,-1.547,-0.141,-0.001
Goodwill_Intangibles,1328.4,1401.8,828.2,722.7,,
LT_Debt,451.3,448.5,250.0,207.9,0.0,0.0
Net_Income,12.8,-50.1,-105.6,-55.3,-1.0,0.0
Revenue,279.2,219.3,155.0,104.6,,
Shares_Diluted,110.6717,83.3182,52.1809,35.7312,7.1668,6.5236
Total_Assets,1626.8,1685.8,1110.0,782.0,263.5,0.2
Total_Liabilities,732.2,811.8,600.7,527.7,10.0,0.2
