AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,40.0,12.6,12.2,13.1,13.0
Cash_from_Operations,223.7,333.9,-296.6,-165.2,-39.0
Diluted_EPS,-0.181,-0.271,-0.654,-0.357,-0.387
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,198.0,396.1,0.0
Net_Income,-373.7,-520.4,-1171.9,-588.1,-637.1
Revenue,1905.9,1541.9,1092.7,742.6,595.4
Shares_Diluted,2063.793,1923.617,1792.14,1648.2,1648.2
Total_Assets,3461.2,3247.4,2690.5,1594.0,1431.0
Total_Liabilities,895.9,956.4,1168.0,1447.4,922.7
