AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,4.5,5.6,5.4,9.7,13.4
Cash_from_Operations,924.1,224.5,409.1,289.0,-27.3
Diluted_EPS,-30.778,-1.84,-12.15,-10.566,-3.808
Goodwill_Intangibles,3290.6,4852.2,5006.6,5238.5,
LT_Debt,2633.3,2748.2,3442.1,3427.3,0.0
Net_Income,-1862.7,-111.0,-126.7,-110.2,-39.7
Revenue,1496.1,1487.0,1426.5,1418.1,1140.7
Shares_Diluted,60.5196,60.3094,10.4294,10.4294,10.4294
Total_Assets,5957.1,7267.2,7409.3,7326.5,
Total_Liabilities,5097.4,4697.5,5487.6,5268.7,
