AAII_YR_DATA,12/31/2018,12/31/2017,12/31/2016,12/31/2015,07/31/2014,07/31/2013
Capital_Expenditures,0.2,,0.0,0.2,,
Cash_from_Operations,-0.3,-0.4,-0.8,-4.5,0.0,0.0
Diluted_EPS,-0.003,-0.003,-0.193,-0.347,-0.002,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.2,0.4,0.0,0.0
Net_Income,-8.4,-5.4,-16.5,-6.4,0.0,0.0
Revenue,0.3,0.4,0.8,0.4,0.0,0.0
Shares_Diluted,3170.426,1539.193,85.5062,18.3468,16.0859,5.2466
Total_Assets,0.4,0.4,0.5,1.0,0.0,0.0
Total_Liabilities,12.6,4.7,3.8,1.3,0.0,0.0
