AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,140.8,35.9,12.6,85.2,,
Cash_from_Operations,305.6,104.6,46.8,60.5,-0.6,0.0
Diluted_EPS,0.739,-0.047,-0.262,0.127,0.099,0.0
Goodwill_Intangibles,116.2,129.5,144.2,158.9,,
LT_Debt,329.9,330.9,374.8,404.3,0.0,0.0
Net_Income,73.9,-4.6,-25.1,12.0,4.0,0.0
Revenue,502.0,291.3,225.1,321.1,0.0,0.0
Shares_Diluted,100.0577,96.611,96.0183,94.5018,40.625,37.5
Total_Assets,771.7,513.4,534.2,600.8,331.0,0.2
Total_Liabilities,570.9,416.1,435.3,480.3,12.4,0.2
