AAII_YR_DATA,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019
Capital_Expenditures,25.1,16.2,35.0,18.6,2.1
Cash_from_Operations,545.6,110.2,-45.4,-176.6,-144.0
Diluted_EPS,-2.5,-2.264,-1.872,-1.26,-0.643
Goodwill_Intangibles,843.4,45.6,24.5,11.8,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0
Net_Income,-796.7,-679.9,-539.1,-348.5,-178.0
Revenue,2065.7,1219.3,592.0,264.7,96.7
Shares_Diluted,318.73,300.2732,287.9176,276.6948,276.6948
Total_Assets,7722.3,6649.7,5921.7,1012.7,764.3
Total_Liabilities,2265.9,1600.7,985.3,621.0,165.9
