AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.1,0.0,0.0,,0.0,0.0,,,0.0,1.9
Cash_from_Operations,2.7,-0.9,0.3,1.4,-4.4,-3.0,-2.6,5.9,-6.5,-15.8
Diluted_EPS,1.309,0.961,0.03,0.137,-1.189,-6.288,-4.463,4.407,-25.267,-0.907
Goodwill_Intangibles,6.8,4.5,,,,2.1,2.4,2.7,5.8,8.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,3.7,2.8,0.1,0.2,-1.4,-7.5,-5.3,5.3,-29.9,-12.8
Revenue,14.5,2.4,,0.0,0.0,0.0,44.6,57.4,60.6,58.6
Shares_Diluted,2.857,2.873,2.1183,1.2447,1.2109,1.1863,1.1782,1.2118,1.183,14.147
Total_Assets,41.1,38.9,27.0,14.3,14.1,32.6,36.5,63.1,59.6,95.5
Total_Liabilities,7.8,9.3,0.3,0.4,0.4,20.1,16.5,15.5,18.7,24.5
