AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,98.0,65.4,23.2,27.0,35.7
Cash_from_Operations,238.9,16.4,144.6,75.2,65.7
Diluted_EPS,0.911,-0.1,0.564,0.591,0.393
Goodwill_Intangibles,854.7,879.7,299.8,299.7,
LT_Debt,1127.3,1297.8,314.8,282.2,0.0
Net_Income,86.5,-7.2,52.5,55.1,36.6
Revenue,9228.9,6454.4,4345.9,4166.8,4392.6
Shares_Diluted,94.906,72.19,93.0986,93.0986,93.0986
Total_Assets,4591.8,4668.0,1885.8,1759.9,
Total_Liabilities,3430.7,3587.4,1350.8,1265.1,
