AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.4,0.8,1.6,1.4,1.2,2.2,1.4
Cash_from_Operations,-73.5,-48.5,-47.3,-52.4,-38.8,-33.2,-21.2
Diluted_EPS,-8.694,-3.876,-12.655,-13.904,-7.665,-8.337,-28.958
Goodwill_Intangibles,31.1,130.6,124.0,121.7,194.3,96.1,96.6
LT_Debt,0.0,28.9,8.4,5.0,13.0,9.2,4.6
Net_Income,-154.2,-61.8,-144.8,-120.0,-46.9,-37.7,-28.4
Revenue,8.5,24.1,7.1,1.5,0.0,0.4,1.4
Shares_Diluted,17.737,15.9377,11.4414,8.6293,6.125,4.5163,0.9793
Total_Assets,74.8,239.3,250.3,176.2,248.6,135.1,116.7
Total_Liabilities,19.2,70.8,71.4,58.4,71.3,13.3,11.7
