AAII_YR_DATA,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018
Capital_Expenditures,61.2,73.4,67.3,29.7,27.2
Cash_from_Operations,35.2,47.0,78.9,92.6,32.7
Diluted_EPS,-0.49,0.632,0.408,1.034,1.045
Goodwill_Intangibles,41.4,76.4,76.4,76.4,76.4
LT_Debt,138.3,157.3,170.0,178.6,195.2
Net_Income,-34.6,44.9,28.8,71.7,72.4
Revenue,1045.9,891.7,862.3,883.3,859.9
Shares_Diluted,70.6475,71.0685,70.5509,69.3509,69.3509
Total_Assets,879.5,873.5,777.3,689.4,621.8
Total_Liabilities,377.4,339.3,303.8,310.4,308.3
