AAII_YR_DATA,09/24/2022,12/31/2021,09/25/2021,12/31/2020,09/26/2020,09/28/2019
Capital_Expenditures,18.0,0.0,12.2,0.0,5.1,4.3
Cash_from_Operations,-148.2,-3.4,109.6,0.0,-124.3,17.2
Diluted_EPS,-0.127,-0.156,-2.86,0.0,-2.562,-2.387
Goodwill_Intangibles,0.7,0.0,1.2,0.0,1.5,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-6.9,-6.5,-155.2,0.0,-139.1,-129.5
Revenue,593.3,,251.9,0.0,92.1,100.1
Shares_Diluted,54.0864,41.4,54.2801,41.04,54.2801,54.2801
Total_Assets,631.3,321.7,280.5,0.1,225.0,
Total_Liabilities,624.1,15.2,557.5,0.1,409.0,
