AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1.4,0.1,0.1,0.1,0.2,0.6,0.8,
Cash_from_Operations,3.0,-2.2,-3.3,-5.1,-3.3,-1.7,2.3,-10.8
Diluted_EPS,-1.34,-1.598,-1.276,-5.038,-10.329,-23.218,-27.34,-169.68400000000003
Goodwill_Intangibles,11.3,13.4,15.4,12.8,13.2,15.1,9.2,9.6
LT_Debt,8.6,8.3,5.9,4.5,3.6,3.4,3.2,17.3
Net_Income,,-6.5,-4.9,-9.9,-13.5,-14.8,-10.2,-48.3
Revenue,65.7,65.0,65.8,60.1,54.3,40.2,21.2,18.7
Shares_Diluted,4.4208,4.042,3.8683,1.9677,1.3058,0.6391,0.3726,0.2847
Total_Assets,26.8,23.0,25.8,32.3,23.2,22.9,14.3,22.5
Total_Liabilities,24.1,18.8,17.0,19.1,19.2,14.1,9.1,37.8
