AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Cash_from_Operations,-1.6,-0.3,-0.6,0.0,-0.6,1.3,0.5
Diluted_EPS,-0.185,-0.192,0.022,0.039,-0.044,0.112,0.096
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-2.2,-2.2,0.3,0.5,-0.5,1.2,1.0
Revenue,0.5,4.5,5.9,5.7,2.4,5.5,5.3
Shares_Diluted,11.6752,11.6752,11.6529,11.6407,11.6215,10.38,10.38
Total_Assets,5.6,8.4,10.8,9.4,8.9,5.4,4.4
Total_Liabilities,0.7,1.4,1.5,0.8,0.7,0.6,1.0
