AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1.1,1.4,2.5,3.6,1.0,0.3,2.0
Cash_from_Operations,-10.8,-41.4,-53.3,-70.6,-25.9,-17.4,-15.0
Diluted_EPS,-0.34,-1.6,-2.657,-5.155,-2.071,-1.764,-1.64
Goodwill_Intangibles,12.5,14.6,32.7,17.6,18.9,20.2,14.2
LT_Debt,29.1,43.2,58.9,58.6,26.3,23.1,16.5
Net_Income,-16.9,-51.7,-65.8,-82.8,-33.2,-24.2,-22.4
Revenue,64.6,50.0,27.1,10.0,3.8,0.8,1.0
Shares_Diluted,49.7238,32.2886,24.7511,16.0524,16.016,13.6887,13.6887
Total_Assets,90.9,111.4,104.1,80.1,122.5,45.2,41.9
Total_Liabilities,97.0,103.5,95.2,81.7,44.1,33.9,25.9
