AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.5,1.2,0.6,0.7,,
Cash_from_Operations,-46.4,-34.1,-26.8,-16.0,-4.7,0.0
Diluted_EPS,-1.805,-1.799,-1.44,-0.927,-0.541,-0.011
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-53.0,-46.3,-33.3,-22.3,-12.2,-0.3
Revenue,,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,29.3429,25.7373,23.1452,24.034,22.5529,22.5529
Total_Assets,117.0,126.3,114.7,141.5,34.2,0.0
Total_Liabilities,12.4,8.4,5.2,3.1,0.9,0.3
