AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,20.9,43.9,45.7,38.6,21.0,0.9
Cash_from_Operations,-201.3,-198.5,-223.0,-83.1,307.7,-2.4
Diluted_EPS,-2.806,-2.865,-2.254,-1.016,-0.022,0.072
Goodwill_Intangibles,3.4,4.7,2.9,1.0,0.0,0.0
LT_Debt,281.0,122.1,1.9,5.1,3.9,0.2
Net_Income,-446.3,-403.6,-266.4,-101.6,-2.8,9.4
Revenue,117.0,68.8,75.0,60.0,49.1,23.6
Shares_Diluted,159.042,140.8517,118.1526,100.0,129.3524,129.3524
Total_Assets,1331.0,1119.5,722.1,292.6,429.0,238.7
Total_Liabilities,586.7,353.5,124.3,141.3,420.4,226.5
