AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,6.6,8.4,14.5,9.3,6.4,27.2,9.0,5.4,4.2
Cash_from_Operations,,14.6,-6.5,-34.0,49.0,88.7,55.8,137.3,53.2,29.9
Diluted_EPS,-2.52,-1.75,10.125,-8.908,27.777,33.519,-2.057,4.474,0.075,0.068
Goodwill_Intangibles,1.2,1.4,1.8,6.3,94.4,99.8,166.0,157.0,68.3,14.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.5,0.0,0.0
Net_Income,-72.8,-50.0,57.6,-48.8,160.0,191.1,-11.4,25.5,10.1,9.4
Revenue,125.3,111.2,220.1,508.5,706.1,705.1,646.9,546.4,275.1,113.1
Shares_Diluted,28.8736,28.6011,5.6843,5.4762,5.7617,5.7006,5.549,5.7072,134.1733,138.1171
Total_Assets,728.4,705.6,795.6,993.8,1175.3,1055.7,785.3,713.3,444.4,137.2
Total_Liabilities,298.5,240.8,264.5,294.7,399.1,447.2,358.4,300.1,117.7,47.6
